pose_id,pose,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder
18501,squat,-23.23271412,24.02213671240344,-39.00646255,182.68642872428137,177.8979824234169,-184.5837418,-187.9203145
18502,squat,-21.48674139,23.38096224,-38.16179575,183.7228921939068,177.54180624789035,-186.0303466,-184.4891527
18503,squat,-20.23864346,24.872430173670992,-38.11621436,183.56753923694268,176.18232543629694,-187.6992034,-185.7501269
18504,squat,-19.82666102,26.10626175568061,-38.06879855,183.0062154080925,175.84566460015952,-189.5483648,-187.3183124
18505,squat,-26.93209019,36.85917835,-41.76873351,175.52947844969705,175.61817704575222,-183.5305258,-209.6656573
18506,squat,-38.79546187,41.53654410067008,-54.7754894,154.01157403664385,175.51702588141598,-174.7038491,-221.9465553
18507,squat,-38.52252452,43.08298426323759,-70.38964798,133.74437441373982,177.14067574039262,-181.5932097,-229.5314453
18508,squat,-42.49029934,38.85964579890673,-89.95120404,120.76847073410973,186.68209825298152,-193.1199993,-237.3342548
18509,squat,-36.74385207,34.12385488029974,-119.8751609,100.63660357246698,199.6957747345257,-213.5426357,-230.5954497
18510,squat,-35.37066032,38.37766925601961,-126.8546336,97.90773041,207.9691961555452,-207.3378773,-217.4807616
18511,squat,-35.65783708,33.87214093850089,-116.1188313,101.39201636650483,200.5877036606228,-199.1717284,-208.2367698
18512,squat,-32.21261361,45.33306027463418,-111.9967863,105.4796556114038,197.98773049055825,-198.5579088,-222.6410765
18513,squat,-42.01531919,44.42117994365118,-68.57964978,130.07760324672725,183.3324327901012,-164.5999894,-224.8280954
18514,squat,-45.72684567,41.82250785301376,-58.77360275,143.93591142809416,180.3213404208273,-158.7189056,-219.3600028
18515,squat,-38.50517765,36.136084825372414,-51.04149554,161.17473622636592,180.3682862790785,-166.6162807,-207.3759769
18516,squat,-32.67201912,34.636648866894284,-43.82521259,176.05654843330714,180.6794620573893,-175.519804,-199.4606422
18517,squat,-27.9266824,30.404682223029088,-40.70433803,182.41039471897108,180.58069650840392,-179.1747323,-191.3466953
18518,squat,-24.92303206,28.95255269218928,-39.78668968,183.39022822094884,179.66992999896843,-181.2238893,-188.2999403
18519,squat,-23.43941927,29.431730371367923,-39.43136372,183.3003451506443,179.36433052382037,-182.891881,-188.17506
18520,squat,-23.19427936,29.35997049345671,-39.39828327,182.76318528288525,178.99877027168682,-183.4224621,-187.6283785
18521,squat,-21.968726,28.93443765693494,-40.31572774,181.23401623231288,178.7867410453234,-183.6985831,-187.5809467
18522,squat,-22.67009555,31.52061048,-40.88579883,179.1590740972117,177.67795043700727,-183.8991296,-192.6105986
18523,squat,-25.76987557,38.39002955084115,-47.47362833,165.3940804781857,177.56361006263884,-181.7956238,-206.7686996
18524,squat,-35.58488275,42.36379049766238,-59.33405172,146.2340568909684,177.6242885652061,-171.7154707,-222.5985344
18525,squat,-34.91225744,41.32870048051886,-70.03179237,136.99151137821516,182.26447541915056,-177.1048117,-223.2367322
18526,squat,-35.93907376,47.75869362998952,-80.73401513,129.6262418992017,187.03410985153636,-188.3734978,-223.7268754
18527,squat,-32.09153514,39.372777236373295,-103.1687877,109.77044389807598,195.45719795143788,-203.8031822,-207.6512109
18528,squat,-32.21034686,35.65508887220569,-125.2203069,94.95927374048097,204.2413438719326,-211.5554711,-216.9526523
18529,squat,-33.13305947,36.44995596163079,-119.1298745,98.66833664,201.76588926294244,-202.5593121,-225.1799441
18530,squat,-27.9011244,36.13449140155573,-96.22758807,113.6524299717238,192.03849248832836,-218.9061644,-222.9436703
18531,squat,-37.18696899,40.763245550861626,-66.67937939,133.8364181471613,183.62859294813015,-175.4847342,-227.9085418
18532,squat,-33.90902367,34.432302746874164,-52.56903517,154.41172971833694,180.722568,-175.344904,-217.3856855
18533,squat,-27.96173675,27.296592473225815,-43.26443475,174.64012581055127,179.9254182162995,-181.5787697,-200.1085036
18534,squat,-23.55986788,24.17269507435328,-40.32495656,180.6898794560276,179.0195294876253,-182.5583059,-191.4808094
18535,squat,-21.81556408,22.84697082166228,-38.89015562,181.73628819934677,177.7108167387565,-183.9423378,-186.8491643
18536,squat,-20.11689091,23.39318937114568,-38.77468982,182.49550454018885,177.61782574984255,-185.5624324,-186.6448953
18537,squat,-27.62166225,29.885047329460868,-45.71940619,171.07250814316828,178.01113713445696,-182.904892,-201.2833169
18538,squat,-35.18717964,32.14452820218806,-66.16170528,143.25524902381386,179.14369824094902,-189.0973184,-224.3610853
18539,squat,-35.67947103,33.69310114577407,-93.5743506,121.38226701661668,187.2835706834732,-210.6370246,-241.8616679
18540,squat,-31.09550163,31.97209303821389,-143.227658,94.48830030033756,216.2261052377576,-234.4785168,-283.1571003
18541,squat,-35.81658676,31.25990565920238,-117.0125454,105.17311084129244,196.62685419122215,-214.7021022,-273.6494199
18542,squat,-36.71201723,36.33700651888051,-77.82915093,129.09038380228708,184.7435622781937,-191.1828752,-259.2487433
18543,squat,-32.78943828,34.133033563257506,-55.86529436,150.9056604570071,181.8766736803306,-185.2704365,-224.7782519
18544,squat,-26.14315949,26.37051811006368,-44.44713174,171.77733984767232,180.3604907031364,-183.4191035,-199.5852123
18545,squat,-19.57952346,21.97294461763664,-40.17255367,179.86492618266558,177.6838885199747,-185.8746809,-186.9942767
18546,squat,-17.78978912,20.370963481935835,-38.9317843,182.04412020598892,176.62906060864685,-188.1775334,-182.1661565
18547,squat,-17.1411932,20.37339307245293,-38.57670555,181.3270348738517,175.90684468700331,-188.4264035,-181.6685553
18548,squat,-18.11505099,26.428842764890817,-40.85725341,178.53056815055132,176.13259521954393,-187.5285278,-191.5221103
18549,squat,-34.24750572,36.90643073126316,-49.9118062,157.07953175417924,176.08498842688465,-174.9127672,-219.6310999
18550,squat,-32.17501388,35.02713796086862,-68.65836699,135.3579846085592,179.24461775902304,-185.7575239,-231.3592528
18551,squat,-35.74119209,36.74134530563005,-91.29880428,119.41974323155236,189.5226963,-203.1628033,-239.0844428
18552,squat,-30.09975679,33.97946851376771,-113.2725498,103.57066608498928,198.0543347340584,-213.16712,-260.6625139
18553,squat,-31.00528291,32.714519707354654,-124.1803114,99.92753309884031,207.6938913569328,-212.9750398,-284.0640667
